date,rank,song,artist,last_week_rank,peak_rank,weeks_on_board,year,month,week
2016-01-02,1,Hello,Adele,1,1,8,2016,1,1
2016-01-02,2,Sorry,Justin Bieber,2,2,8,2016,1,1
2016-01-02,3,Hotline Bling,Drake,3,2,20,2016,1,1
2016-01-02,4,Love Yourself,Justin Bieber,5,4,5,2016,1,1
2016-01-02,5,What Do You Mean?,Justin Bieber,4,1,16,2016,1,1
2016-01-02,6,Same Old Love,Selena Gomez,9,6,14,2016,1,1
2016-01-02,7,The Hills,The Weeknd,6,1,30,2016,1,1
2016-01-02,8,Here,Alessia Cara,8,8,20,2016,1,1
2016-01-02,9,Stitches,Shawn Mendes,7,4,30,2016,1,1
2016-01-02,10,Like I'm Gonna Lose You,Meghan Trainor Ft. John Legend,10,8,24,2016,1,1
2016-01-02,11,679,Fetty Wap Ft. Remy Boyz,11,4,25,2016,1,1
2016-01-02,12,In The Night,The Weeknd,19,12,6,2016,1,1
2016-01-02,13,Jumpman,Drake Ft. Future,14,12,13,2016,1,1
2016-01-02,14,On My Mind,Ellie Goulding,13,13,13,2016,1,1
2016-01-02,15,Can't Feel My Face,The Weeknd,15,1,28,2016,1,1
2016-01-02,16,Antidote,Travis Scott,16,16,15,2016,1,1
2016-01-02,17,Ex's & Oh's,Elle King,12,10,24,2016,1,1
2016-01-02,18,All I Want For Christmas Is You,Mariah Carey,22,18,13,2016,1,1
2016-01-02,19,Stressed Out,twenty one pilots,28,19,13,2016,1,1
2016-01-02,20,Don't,Bryson Tiller,20,20,12,2016,1,1
2016-01-02,21,Die A Happy Man,Thomas Rhett,25,21,13,2016,1,1
2016-01-02,22,White Iverson,Post Malone,23,22,15,2016,1,1
2016-01-02,23,Wildest Dreams,Taylor Swift,18,5,17,2016,1,1
2016-01-02,24,Mary Did You Know,Jordan Smith,NA,24,1,2016,1,1
2016-01-02,25,Lean On,Major Lazer Ft. DJ Snake Ft. MO,17,4,37,2016,1,1
2016-01-02,26,Roses,The Chainsmokers Ft. Rozes,29,26,9,2016,1,1
2016-01-02,27,Watch Me,Silento,26,3,43,2016,1,1
2016-01-02,28,Say It,Tory Lanez,30,28,9,2016,1,1
2016-01-02,29,Burning House,Cam,47,29,23,2016,1,1
2016-01-02,30,Confident,Demi Lovato,31,21,11,2016,1,1
2016-01-02,31,Trap Queen,Fetty Wap,27,2,48,2016,1,1
2016-01-02,32,Perfect,One Direction,32,10,9,2016,1,1
2016-01-02,33,Focus,Ariana Grande,24,7,7,2016,1,1
2016-01-02,34,Break Up In A Small Town,Sam Hunt,34,32,11,2016,1,1
2016-01-02,35,Where Ya At,Future Ft. Drake,35,28,22,2016,1,1
2016-01-02,36,No Role Modelz,J. Cole,37,36,18,2016,1,1
2016-01-02,37,Locked Away,R. City Ft. Adam Levine,33,6,22,2016,1,1
2016-01-02,38,Rockin' Around The Christmas Tree,Brenda Lee,44,14,14,2016,1,1
2016-01-02,39,Where Are U Now,Skrillex Ft. Diplo With Justin Bieber,38,8,42,2016,1,1
2016-01-02,40,"Me, Myself & I",G-Eazy x Bebe Rexha,36,36,7,2016,1,1
2016-01-02,41,Hide Away,Daya,48,41,13,2016,1,1
2016-01-02,42,See You Again,Wiz Khalifa Ft. Charlie Puth,41,1,41,2016,1,1
2016-01-02,43,Good For You,Selena Gomez Ft. A$AP Rocky,40,5,26,2016,1,1
2016-01-02,44,Adventure Of A Lifetime,Coldplay,39,39,6,2016,1,1
2016-01-02,45,Again,Fetty Wap,42,33,19,2016,1,1
2016-01-02,46,I Know What You Did Last Summer,Shawn Mendes Ft. Camila Cabello,52,46,5,2016,1,1
2016-01-02,47,Cake By The Ocean,DNCE,63,47,9,2016,1,1
2016-01-02,48,Exchange,Bryson Tiller,53,48,8,2016,1,1
2016-01-02,49,Cheerleader,OMI,43,1,35,2016,1,1
2016-01-02,50,Drag Me Down,One Direction,46,3,20,2016,1,1
2016-01-02,51,My House,Flo Rida,55,51,6,2016,1,1
2016-01-02,52,Hit The Quan,iLoveMemphis,45,15,18,2016,1,1
2016-01-02,53,Back Up,DeJ Loaf Ft. Big Sean,49,47,11,2016,1,1
2016-01-02,54,WTF (Where They From),Missy Elliott Ft. Pharrell Williams,57,22,6,2016,1,1
2016-01-02,55,When We Were Young,Adele,78,22,4,2016,1,1
2016-01-02,56,Burning House,Emily Ann Roberts,NA,56,1,2016,1,1
2016-01-02,57,Down In The DM,Yo Gotti Ft. Nicki Minaj,68,57,3,2016,1,1
2016-01-02,58,Stay A Little Longer,Brothers Osborne,59,58,11,2016,1,1
2016-01-02,59,I'll Show You,Justin Bieber,51,19,7,2016,1,1
2016-01-02,60,One Call Away,Charlie Puth,75,60,3,2016,1,1
2016-01-02,61,Home Alone Tonight,Luke Bryan Ft. Karen Fairchild,67,61,4,2016,1,1
2016-01-02,62,Hands To Myself,Selena Gomez,77,62,2,2016,1,1
2016-01-02,63,Gonna,Blake Shelton,54,54,14,2016,1,1
2016-01-02,64,Back To Sleep,Chris Brown,NA,64,1,2016,1,1
2016-01-02,65,The Fix,Nelly Ft. Jeremih,62,62,12,2016,1,1
2016-01-02,66,Gonna Know We Were Here,Jason Aldean,65,62,10,2016,1,1
2016-01-02,67,Used To Love You,Gwen Stefani,56,52,5,2016,1,1
2016-01-02,68,Do It Like Me,DLOW,60,45,6,2016,1,1
2016-01-02,69,You Should Be Here,Cole Swindell,NA,69,1,2016,1,1
2016-01-02,70,Big Rings,Drake Ft. Future,64,52,13,2016,1,1
2016-01-02,71,I Got The Boy,Jana Kramer,71,71,10,2016,1,1
2016-01-02,72,Climb Every Mountain,Jordan Smith,NA,72,1,2016,1,1
2016-01-02,73,I Love This Life,LOCASH,74,73,8,2016,1,1
2016-01-02,74,Back To Back,Drake,66,21,20,2016,1,1
2016-01-02,75,Lay It All On Me,Rudimental Ft. Ed Sheeran,58,48,11,2016,1,1
2016-01-02,76,Top Of The World,Tim McGraw,73,73,10,2016,1,1
2016-01-02,77,Stand By You,Rachel Platten,61,61,5,2016,1,1
2016-01-02,78,Best Friend,Young Thug,72,72,4,2016,1,1
2016-01-02,79,Irresistible,Fall Out Boy,84,77,5,2016,1,1
2016-01-02,80,New Americana,Halsey,82,80,12,2016,1,1
2016-01-02,81,$ave Dat Money,Lil Dicky Ft. Fetty Wap Ft. Rich Homie Quan,87,71,8,2016,1,1
2016-01-02,82,The Feeling,Justin Bieber Ft. Halsey,70,31,5,2016,1,1
2016-01-02,83,Blase,Ty Dolla $ign Ft. Future Ft. Rae Sremmurd,81,63,14,2016,1,1
2016-01-02,84,Come Get Her,Rae Sremmurd,79,56,14,2016,1,1
2016-01-02,85,Nothin' Like You,Dan + Shay,69,51,19,2016,1,1
2016-01-02,86,Good To Be Alive (Hallelujah),Andy Grammer,NA,86,1,2016,1,1
2016-01-02,87,Dibs,Kelsea Ballerini,86,86,7,2016,1,1
2016-01-02,88,Strip It Down,Luke Bryan,80,30,20,2016,1,1
2016-01-02,89,Downtown,"Macklemore Ft. Ryan Lewis Ft. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",76,12,17,2016,1,1
2016-01-02,90,God Only Knows,Jordan Smith Ft. Adam Levine,NA,90,1,2016,1,1
2016-01-02,91,Backroad Song,Granger Smith,93,91,2,2016,1,1
2016-01-02,92,Dessert,Dawin,89,89,2,2016,1,1
2016-01-02,93,Play No Games,Big Sean Ft. Chris Brown Ft. Ty Dolla $ign,92,84,7,2016,1,1
2016-01-02,94,Right Hand,Drake,88,58,14,2016,1,1
2016-01-02,95,Sorry Not Sorry,Bryson Tiller,NA,95,1,2016,1,1
2016-01-02,96,Beautiful Drug,Zac Brown Band,100,95,4,2016,1,1
2016-01-02,97,Smoke Break,Carrie Underwood,83,43,17,2016,1,1
2016-01-02,98,Hollow,Tori Kelly,NA,98,1,2016,1,1
2016-01-02,99,Somebody To Love,Jordan Smith,21,21,2,2016,1,1
2016-01-02,100,Purpose,Justin Bieber,85,43,5,2016,1,1
2016-01-09,1,Hello,Adele,1,1,9,2016,1,2
2016-01-09,2,Sorry,Justin Bieber,2,2,9,2016,1,2
2016-01-09,3,Love Yourself,Justin Bieber,4,3,6,2016,1,2
2016-01-09,4,Hotline Bling,Drake,3,2,21,2016,1,2
2016-01-09,5,What Do You Mean?,Justin Bieber,5,1,17,2016,1,2
2016-01-09,6,Same Old Love,Selena Gomez,6,6,15,2016,1,2
2016-01-09,7,Here,Alessia Cara,8,7,21,2016,1,2
2016-01-09,8,Stitches,Shawn Mendes,9,4,31,2016,1,2
2016-01-09,9,The Hills,The Weeknd,7,1,31,2016,1,2
2016-01-09,10,Like I'm Gonna Lose You,Meghan Trainor Ft. John Legend,10,8,25,2016,1,2
2016-01-09,11,All I Want For Christmas Is You,Mariah Carey,18,11,14,2016,1,2
2016-01-09,12,Jumpman,Drake Ft. Future,13,12,14,2016,1,2
2016-01-09,13,Stressed Out,twenty one pilots,19,13,14,2016,1,2
2016-01-09,14,679,Fetty Wap Ft. Remy Boyz,11,4,26,2016,1,2
2016-01-09,15,In The Night,The Weeknd,12,12,7,2016,1,2
2016-01-09,16,Antidote,Travis Scott,16,16,16,2016,1,2
2016-01-09,17,On My Mind,Ellie Goulding,14,13,14,2016,1,2
2016-01-09,18,Don't,Bryson Tiller,20,18,13,2016,1,2
2016-01-09,19,Watch Me,Silento,27,3,44,2016,1,2
2016-01-09,20,Roses,The Chainsmokers Ft. Rozes,26,20,10,2016,1,2
2016-01-09,21,Can't Feel My Face,The Weeknd,15,1,29,2016,1,2
2016-01-09,22,Wildest Dreams,Taylor Swift,23,5,18,2016,1,2
2016-01-09,23,Ex's & Oh's,Elle King,17,10,25,2016,1,2
2016-01-09,24,White Iverson,Post Malone,22,22,16,2016,1,2
2016-01-09,25,Die A Happy Man,Thomas Rhett,21,21,14,2016,1,2
2016-01-09,26,Say It,Tory Lanez,28,26,10,2016,1,2
2016-01-09,27,Confident,Demi Lovato,30,21,12,2016,1,2
2016-01-09,28,Lean On,Major Lazer Ft. DJ Snake Ft. MO,25,4,38,2016,1,2
2016-01-09,29,Trap Queen,Fetty Wap,31,2,49,2016,1,2
2016-01-09,30,Rockin' Around The Christmas Tree,Brenda Lee,38,14,15,2016,1,2
2016-01-09,31,Perfect,One Direction,32,10,10,2016,1,2
2016-01-09,32,Break Up In A Small Town,Sam Hunt,34,32,12,2016,1,2
2016-01-09,33,I Know What You Did Last Summer,Shawn Mendes Ft. Camila Cabello,46,33,6,2016,1,2
2016-01-09,34,Hit The Quan,iLoveMemphis,52,15,19,2016,1,2
2016-01-09,35,Focus,Ariana Grande,33,7,8,2016,1,2
2016-01-09,36,"Me, Myself & I",G-Eazy x Bebe Rexha,40,36,8,2016,1,2
2016-01-09,37,My House,Flo Rida,51,37,7,2016,1,2
2016-01-09,38,The Christmas Song (Merry Christmas To You),Nat King Cole,NA,38,7,2016,1,2
2016-01-09,39,Hands To Myself,Selena Gomez,62,39,3,2016,1,2
2016-01-09,40,No Role Modelz,J. Cole,36,36,19,2016,1,2
2016-01-09,41,See You Again,Wiz Khalifa Ft. Charlie Puth,42,1,42,2016,1,2
2016-01-09,42,Hide Away,Daya,41,41,14,2016,1,2
2016-01-09,43,Cake By The Ocean,DNCE,47,43,10,2016,1,2
2016-01-09,44,Again,Fetty Wap,45,33,20,2016,1,2
2016-01-09,45,Where Ya At,Future Ft. Drake,35,28,23,2016,1,2
2016-01-09,46,Locked Away,R. City Ft. Adam Levine,37,6,23,2016,1,2
2016-01-09,47,Jingle Bell Rock,Bobby Helms,NA,35,16,2016,1,2
2016-01-09,48,Do It Like Me,DLOW,68,45,7,2016,1,2
2016-01-09,49,Where Are U Now,Skrillex Ft. Diplo With Justin Bieber,39,8,43,2016,1,2
2016-01-09,50,Burning House,Cam,29,29,24,2016,1,2
2016-01-09,51,Exchange,Bryson Tiller,48,48,9,2016,1,2
2016-01-09,52,Down In The DM,Yo Gotti Ft. Nicki Minaj,57,52,4,2016,1,2
2016-01-09,53,Back To Sleep,Chris Brown,64,53,2,2016,1,2
2016-01-09,54,When We Were Young,Adele,55,22,5,2016,1,2
2016-01-09,55,Adventure Of A Lifetime,Coldplay,44,39,7,2016,1,2
2016-01-09,56,Back Up,DeJ Loaf Ft. Big Sean,53,47,12,2016,1,2
2016-01-09,57,One Call Away,Charlie Puth,60,57,4,2016,1,2
2016-01-09,58,WTF (Where They From),Missy Elliott Ft. Pharrell Williams,54,22,7,2016,1,2
2016-01-09,59,I'll Show You,Justin Bieber,59,19,8,2016,1,2
2016-01-09,60,Home Alone Tonight,Luke Bryan Ft. Karen Fairchild,61,60,5,2016,1,2
2016-01-09,61,Big Rings,Drake Ft. Future,70,52,14,2016,1,2
2016-01-09,62,The Fix,Nelly Ft. Jeremih,65,62,13,2016,1,2
2016-01-09,63,Best Friend,Young Thug,78,63,5,2016,1,2
2016-01-09,64,Stay A Little Longer,Brothers Osborne,58,58,12,2016,1,2
2016-01-09,65,Gonna Know We Were Here,Jason Aldean,66,62,11,2016,1,2
2016-01-09,66,Stand By You,Rachel Platten,77,61,6,2016,1,2
2016-01-09,67,Used To Love You,Gwen Stefani,67,52,6,2016,1,2
2016-01-09,68,Irresistible,Fall Out Boy,79,68,6,2016,1,2
2016-01-09,69,I Got The Boy,Jana Kramer,71,69,11,2016,1,2
2016-01-09,70,I Love This Life,LOCASH,73,70,9,2016,1,2
2016-01-09,71,New Americana,Halsey,80,71,13,2016,1,2
2016-01-09,72,You Should Be Here,Cole Swindell,69,69,2,2016,1,2
2016-01-09,73,$ave Dat Money,Lil Dicky Ft. Fetty Wap Ft. Rich Homie Quan,81,71,9,2016,1,2
2016-01-09,74,Gonna,Blake Shelton,63,54,15,2016,1,2
2016-01-09,75,Dessert,Dawin,92,75,3,2016,1,2
2016-01-09,76,Come Get Her,Rae Sremmurd,84,56,15,2016,1,2
2016-01-09,77,Liquor,Chris Brown,NA,60,16,2016,1,2
2016-01-09,78,Lay It All On Me,Rudimental Ft. Ed Sheeran,75,48,12,2016,1,2
2016-01-09,79,Right Hand,Drake,94,58,15,2016,1,2
2016-01-09,80,Zero,Chris Brown,NA,80,1,2016,1,2
2016-01-09,81,Hallelujah,Lindsey Stirling,NA,81,1,2016,1,2
2016-01-09,82,Downtown,"Macklemore Ft. Ryan Lewis Ft. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",89,12,18,2016,1,2
2016-01-09,83,Good To Be Alive (Hallelujah),Andy Grammer,86,83,2,2016,1,2
2016-01-09,84,The Feeling,Justin Bieber Ft. Halsey,82,31,6,2016,1,2
2016-01-09,85,Top Of The World,Tim McGraw,76,73,11,2016,1,2
2016-01-09,86,RGF Island,Fetty Wap,NA,57,11,2016,1,2
2016-01-09,87,Blase,Ty Dolla $ign Ft. Future Ft. Rae Sremmurd,83,63,15,2016,1,2
2016-01-09,88,Backroad Song,Granger Smith,91,88,3,2016,1,2
2016-01-09,89,Ginza,J Balvin,NA,84,12,2016,1,2
2016-01-09,90,Sorry Not Sorry,Bryson Tiller,95,90,2,2016,1,2
2016-01-09,91,Little More (Royalty),Chris Brown,NA,91,1,2016,1,2
2016-01-09,92,Beautiful Drug,Zac Brown Band,96,92,5,2016,1,2
2016-01-09,93,Play No Games,Big Sean Ft. Chris Brown Ft. Ty Dolla $ign,93,84,8,2016,1,2
2016-01-09,94,Really Really,Kevin Gates,NA,94,1,2016,1,2
2016-01-09,95,Purpose,Justin Bieber,100,43,6,2016,1,2
2016-01-09,96,Hollow,Tori Kelly,98,96,2,2016,1,2
2016-01-09,97,Dibs,Kelsea Ballerini,87,86,8,2016,1,2
2016-01-09,98,Let It Go,James Bay,NA,98,1,2016,1,2
2016-01-09,99,Stick Talk,Future,NA,99,1,2016,1,2
2016-01-09,100,Get Ugly,Jason Derulo,NA,100,1,2016,1,2
2016-01-16,1,Hello,Adele,1,1,10,2016,1,3
2016-01-16,2,Sorry,Justin Bieber,2,2,10,2016,1,3
2016-01-16,3,Love Yourself,Justin Bieber,3,3,7,2016,1,3
2016-01-16,4,Hotline Bling,Drake,4,2,22,2016,1,3
2016-01-16,5,What Do You Mean?,Justin Bieber,5,1,18,2016,1,3
2016-01-16,6,Stitches,Shawn Mendes,8,4,32,2016,1,3
2016-01-16,7,Same Old Love,Selena Gomez,6,6,16,2016,1,3
2016-01-16,8,Here,Alessia Cara,7,7,22,2016,1,3
2016-01-16,9,Stressed Out,twenty one pilots,13,9,15,2016,1,3
2016-01-16,10,Like I'm Gonna Lose You,Meghan Trainor Ft. John Legend,10,8,26,2016,1,3
2016-01-16,11,The Hills,The Weeknd,9,1,32,2016,1,3
2016-01-16,12,679,Fetty Wap Ft. Remy Boyz,14,4,27,2016,1,3
2016-01-16,13,Jumpman,Drake Ft. Future,12,12,15,2016,1,3
2016-01-16,14,Ex's & Oh's,Elle King,23,10,26,2016,1,3
2016-01-16,15,White Iverson,Post Malone,24,15,17,2016,1,3
2016-01-16,16,On My Mind,Ellie Goulding,17,13,15,2016,1,3
2016-01-16,17,Antidote,Travis Scott,16,16,17,2016,1,3
2016-01-16,18,Wildest Dreams,Taylor Swift,22,5,19,2016,1,3
2016-01-16,19,Watch Me,Silento,19,3,45,2016,1,3
2016-01-16,20,In The Night,The Weeknd,15,12,8,2016,1,3
2016-01-16,21,Don't,Bryson Tiller,18,18,14,2016,1,3
2016-01-16,22,Roses,The Chainsmokers Ft. Rozes,20,20,11,2016,1,3
2016-01-16,23,Confident,Demi Lovato,27,21,13,2016,1,3
2016-01-16,24,Can't Feel My Face,The Weeknd,21,1,30,2016,1,3
2016-01-16,25,Die A Happy Man,Thomas Rhett,25,21,15,2016,1,3
2016-01-16,26,Perfect,One Direction,31,10,11,2016,1,3
2016-01-16,27,Trap Queen,Fetty Wap,29,2,50,2016,1,3
2016-01-16,28,I Know What You Did Last Summer,Shawn Mendes Ft. Camila Cabello,33,28,7,2016,1,3
2016-01-16,29,Break Up In A Small Town,Sam Hunt,32,29,13,2016,1,3
2016-01-16,30,See You Again,Wiz Khalifa Ft. Charlie Puth,41,1,43,2016,1,3
2016-01-16,31,Hide Away,Daya,42,31,15,2016,1,3
2016-01-16,32,Say It,Tory Lanez,26,26,11,2016,1,3
2016-01-16,33,Lean On,Major Lazer Ft. DJ Snake Ft. MO,28,4,39,2016,1,3
2016-01-16,34,My House,Flo Rida,37,34,8,2016,1,3
2016-01-16,35,"Me, Myself & I",G-Eazy x Bebe Rexha,36,35,9,2016,1,3
2016-01-16,36,One Call Away,Charlie Puth,57,36,5,2016,1,3
2016-01-16,37,Hit The Quan,iLoveMemphis,34,15,20,2016,1,3
2016-01-16,38,Again,Fetty Wap,44,33,21,2016,1,3
2016-01-16,39,Focus,Ariana Grande,35,7,9,2016,1,3
2016-01-16,40,Locked Away,R. City Ft. Adam Levine,46,6,24,2016,1,3
2016-01-16,41,Cake By The Ocean,DNCE,43,41,11,2016,1,3
2016-01-16,42,Hands To Myself,Selena Gomez,39,39,4,2016,1,3
2016-01-16,43,No Role Modelz,J. Cole,40,36,20,2016,1,3
2016-01-16,44,Burning House,Cam,50,29,25,2016,1,3
2016-01-16,45,Where Ya At,Future Ft. Drake,45,28,24,2016,1,3
2016-01-16,46,Exchange,Bryson Tiller,51,46,10,2016,1,3
2016-01-16,47,When We Were Young,Adele,54,22,6,2016,1,3
2016-01-16,48,Down In The DM,Yo Gotti Ft. Nicki Minaj,52,48,5,2016,1,3
2016-01-16,49,Where Are U Now,Skrillex Ft. Diplo With Justin Bieber,49,8,44,2016,1,3
2016-01-16,50,Stand By You,Rachel Platten,66,50,7,2016,1,3
2016-01-16,51,Do It Like Me,DLOW,48,45,8,2016,1,3
2016-01-16,52,Back Up,DeJ Loaf Ft. Big Sean,56,47,13,2016,1,3
2016-01-16,53,Home Alone Tonight,Luke Bryan Ft. Karen Fairchild,60,53,6,2016,1,3
2016-01-16,54,Adventure Of A Lifetime,Coldplay,55,39,8,2016,1,3
2016-01-16,55,Irresistible,Fall Out Boy,68,55,7,2016,1,3
2016-01-16,56,Gonna Know We Were Here,Jason Aldean,65,56,12,2016,1,3
2016-01-16,57,Big Rings,Drake Ft. Future,61,52,15,2016,1,3
2016-01-16,58,I'll Show You,Justin Bieber,59,19,9,2016,1,3
2016-01-16,59,Back To Sleep,Chris Brown,53,53,3,2016,1,3
2016-01-16,60,New Americana,Halsey,71,60,14,2016,1,3
2016-01-16,61,Stay A Little Longer,Brothers Osborne,64,58,13,2016,1,3
2016-01-16,62,Good To Be Alive (Hallelujah),Andy Grammer,83,62,3,2016,1,3
2016-01-16,63,WTF (Where They From),Missy Elliott Ft. Pharrell Williams,58,22,8,2016,1,3
2016-01-16,64,I Got The Boy,Jana Kramer,69,64,12,2016,1,3
2016-01-16,65,I Love This Life,LOCASH,70,65,10,2016,1,3
2016-01-16,66,Right Hand,Drake,79,58,16,2016,1,3
2016-01-16,67,Best Friend,Young Thug,63,63,6,2016,1,3
2016-01-16,68,Used To Love You,Gwen Stefani,67,52,7,2016,1,3
2016-01-16,69,The Fix,Nelly Ft. Jeremih,62,62,14,2016,1,3
2016-01-16,70,Get Ugly,Jason Derulo,100,70,2,2016,1,3
2016-01-16,71,Come Get Her,Rae Sremmurd,76,56,16,2016,1,3
2016-01-16,72,Downtown,"Macklemore Ft. Ryan Lewis Ft. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",82,12,19,2016,1,3
2016-01-16,73,Dessert,Dawin,75,73,4,2016,1,3
2016-01-16,74,RGF Island,Fetty Wap,86,57,12,2016,1,3
2016-01-16,75,Gonna,Blake Shelton,74,54,16,2016,1,3
2016-01-16,76,Dibs,Kelsea Ballerini,97,76,9,2016,1,3
2016-01-16,77,Sorry Not Sorry,Bryson Tiller,90,77,3,2016,1,3
2016-01-16,78,$ave Dat Money,Lil Dicky Ft. Fetty Wap Ft. Rich Homie Quan,73,71,10,2016,1,3
2016-01-16,79,Really Really,Kevin Gates,94,79,2,2016,1,3
2016-01-16,80,Hollow,Tori Kelly,96,80,3,2016,1,3
2016-01-16,81,Beautiful Drug,Zac Brown Band,92,81,6,2016,1,3
2016-01-16,82,Backroad Song,Granger Smith,88,82,4,2016,1,3
2016-01-16,83,Blase,Ty Dolla $ign Ft. Future Ft. Rae Sremmurd,87,63,16,2016,1,3
2016-01-16,84,Top Of The World,Tim McGraw,85,73,12,2016,1,3
2016-01-16,85,Watch Out,2 Chainz,NA,85,1,2016,1,3
2016-01-16,86,Purpose,Justin Bieber,95,43,7,2016,1,3
2016-01-16,87,Smoke Break,Carrie Underwood,NA,43,18,2016,1,3
2016-01-16,88,Lay It All On Me,Rudimental Ft. Ed Sheeran,78,48,13,2016,1,3
2016-01-16,89,Liquor,Chris Brown,77,60,17,2016,1,3
2016-01-16,90,Let It Go,James Bay,98,90,2,2016,1,3
2016-01-16,91,Stick Talk,Future,99,91,2,2016,1,3
2016-01-16,92,Mr. Misunderstood,Eric Church,NA,92,1,2016,1,3
2016-01-16,93,The Feeling,Justin Bieber Ft. Halsey,84,31,7,2016,1,3
2016-01-16,94,Break On Me.,Keith Urban,NA,94,1,2016,1,3
2016-01-16,95,Zero,Chris Brown,80,80,2,2016,1,3
2016-01-16,96,Jugg,Fetty Wap Ft. Monty,NA,86,6,2016,1,3
2016-01-16,97,You Should Be Here,Cole Swindell,72,69,3,2016,1,3
2016-01-16,98,We Went,Randy Houser,NA,98,2,2016,1,3
2016-01-16,99,Confession,Florida Georgia Line,NA,99,1,2016,1,3
2016-01-16,100,Play No Games,Big Sean Ft. Chris Brown Ft. Ty Dolla $ign,93,84,9,2016,1,3
2016-01-23,1,Sorry,Justin Bieber,2,1,11,2016,1,4
2016-01-23,2,Hello,Adele,1,1,11,2016,1,4
